"name"	"gender"	"age"	"competition"	"stage_name"	"stage_num"	"date"	"order_stage"	"order_day"	"order_session"	"local_time"	"got_through"
"Bies Tymoteusz"	"M"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	1	1	1	10:00:00 AM	0
"Błaszczyk Rafał"	"M"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	2	2	2	10:25:00 AM	0
"Byrdy Łukasz Piotr"	"M"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	3	3	3	10:50:00 AM	1
"Candotti Michelle"	"F"	19	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	4	4	4	11:15:00 AM	1
"Caroccia Luigi"	"M"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	5	5	5	12:10:00 PM	1
"Chistiakova Galina"	"F"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	6	6	6	12:35:00 PM	1
"Chistiakova Irina"	"F"	25	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	7	7	7	01:00:00 PM	0
"Cho Seong Jin"	"M"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	8	8	8	01:25:00 PM	1
"Fripp Ashley"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	9	9	1	05:00:00 PM	0
"Furumi Yasuko"	"F"	17	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	10	10	2	05:25:00 PM	0
"Giorgini Saskia"	"F"	30	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	11	11	3	05:50:00 PM	0
"Goździewski Adam Mikołaj"	"M"	19	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	12	12	4	06:15:00 PM	0
"Gyöngyösi Ivett"	"F"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	13	13	5	07:10:00 PM	1
"Han Chi Ho"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	14	14	6	07:35:00 PM	1
"Hansen Olof"	"M"	25	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	15	15	7	08:00:00 PM	1
"Jia Julian Zhi Chao"	"M"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/03/15	16	16	8	08:25:00 PM	1
"Jurinić Aljoša"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	17	1	1	10:00:00 AM	1
"Ka Joo Yeon"	"F"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	18	2	2	10:25:00 AM	0
"Kim Hong Gi"	"M"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	19	3	3	10:50:00 AM	0
"Kim Su Yeon"	"F"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	20	4	4	11:15:00 AM	1
"Kim Ye Dam"	"F"	27	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	21	5	5	12:10:00 PM	0
"Kimura Yurika"	"F"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	22	6	6	12:35:00 PM	0
"Klinton Dinara"	"F"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	23	7	7	01:00:00 PM	1
"Kobayashi Aimi"	"F"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	24	8	8	01:25:00 PM	1
"Kong Qi"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	25	9	1	05:00:00 PM	1
"Kozák Marek"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	26	10	2	05:25:00 PM	1
"Krupiński Łukasz"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	27	11	3	05:50:00 PM	1
"Książek Krzysztof"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	28	12	4	06:15:00 PM	1
"Kudo Rachel Naomi"	"F"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	29	13	5	07:10:00 PM	1
"Liu Kate"	"F"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	30	14	6	07:35:00 PM	1
"Lu Eric"	"M"	18	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	31	15	7	08:00:00 PM	1
"Lu Tian"	"F"	30	"17th Chopin Piano Competition"	"Stage 1"	1	10/04/15	32	16	8	08:25:00 PM	0
"Luo Xin"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	33	1	1	10:00:00 AM	0
"Martynov Roman"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	34	2	2	10:25:00 AM	0
"Maruyama Nagino"	"F"	16	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	35	3	3	10:50:00 AM	0
"Mieno Nao"	"F"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	36	4	4	11:15:00 AM	0
"Mikołajczyk Łukasz"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	37	5	5	12:10:00 PM	1
"Motyczyński Paweł"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	38	6	6	12:35:00 PM	0
"Mouza Alexia"	"F"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	39	7	7	01:00:00 PM	1
"Nakagawa Mayaka"	"F"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	40	8	8	01:25:00 PM	1
"Nakagiri Nozomi"	"F"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	41	9	1	05:00:00 PM	0
"Nehring Szymon"	"M"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	42	10	2	05:25:00 PM	1
"Nesterova Anastasiia"	"F"	21	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	43	11	3	05:50:00 PM	0
"Noerjadi Ronald"	"M"	28	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	44	12	4	06:15:00 PM	0
"Nogami Mariko"	"F"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	45	13	5	07:10:00 PM	0
"Nowak Piotr"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	46	14	6	07:35:00 PM	1
"Onoda Arisa"	"F"	19	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	47	15	7	08:00:00 PM	1
"Osokins Georgijs"	"M"	20	"17th Chopin Piano Competition"	"Stage 1"	1	10/05/15	48	16	8	08:25:00 PM	1
"Park Jinhyung"	"M"	19	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	49	1	1	10:00:00 AM	1
"Pawlak Piotr Ryszard"	"M"	17	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	50	2	2	10:25:00 AM	0
"Pietrzak Zuzanna"	"F"	18	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	51	3	3	10:50:00 AM	0
"Poon Tiffany"	"F"	19	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	52	4	4	11:15:00 AM	0
"Rajeshkumar Kausikan"	"M"	25	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	53	5	5	12:10:00 PM	0
"Richard-Hamelin Charles"	"M"	26	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	54	6	6	12:35:00 PM	1
"Salimdjanova Tamila"	"F"	24	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	55	7	7	01:00:00 PM	0
"Sandrin Cristian Ioan"	"M"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	56	8	8	01:25:00 PM	0
"Schwamová Natalie"	"F"	16	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	57	9	1	05:00:00 PM	0
"Shi Boyang"	"F"	22	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	58	10	2	05:25:00 PM	0
"Shishkin Dmitry"	"M"	23	"17th Chopin Piano Competition"	"Stage 1"	1	10/06/15	59	11	3	05:50:00 PM	1
