name,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,pt2_accuracy,pt2_balanced_accuracy,pt2_f1_score,pt2_precision,pt2_recall,pt3_accuracy,pt3_balanced_accuracy,pt3_f1_score,pt3_precision,pt3_recall,pt4_accuracy,pt4_balanced_accuracy,pt4_f1_score,pt4_precision,pt4_recall,pt5_accuracy,pt5_balanced_accuracy,pt5_f1_score,pt5_precision,pt5_recall,pt6_accuracy,pt6_balanced_accuracy,pt6_f1_score,pt6_precision,pt6_recall,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall
layer1,1.0,1.0,1.0,1.0,1.0,0.9944236371202663,0.9927881297446515,0.9954877112135176,0.9910421910097155,1.0,0.9982363315696648,0.9966666666666667,0.998805256869773,0.9976190476190476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9982547993019196,0.9987468671679198,0.9987421383647798,1.0,0.9974937343358397,0.9984922529905305,0.997707935099818,0.9989330896808183,0.9982807791431364,0.9995884773662551
layer2,1.0,1.0,1.0,1.0,1.0,0.9945850340136054,0.9934276729559749,0.9954336281792379,0.9909443926685305,1.0,0.9984496124031007,0.9973118279569894,0.998914223669924,0.9978354978354979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985815602836879,0.9989451476793249,0.9989417989417989,1.0,0.9978902953586498,0.9986005364504557,0.9981214352756509,0.9989370623421095,0.9982236959628438,0.9996538594669436
layer3,1.0,1.0,1.0,1.0,1.0,0.9854826860952836,0.9819749645288035,0.9879901723821393,0.9762753047259874,1.0,0.9920280515610367,0.9870270893167393,0.9944322975840145,0.9905316572727543,0.9983660130718954,0.9954412394274937,0.9934369816752162,0.9970936824616695,0.9970631424375918,0.9971303736068426,0.9988851727982162,0.9986225895316805,0.9990662931839402,0.9981378026070763,1.0,0.9932201836963742,0.992247995595482,0.9945938720165807,0.9927820352878275,0.9964349376114082,0.9943026689832615,0.9925049650123777,0.995625021070686,0.9927333967142196,0.9985351487234121
"transformation[0, 0]",1.0,1.0,1.0,1.0,1.0,0.9854826860952836,0.9819749645288035,0.9879901723821393,0.9762753047259874,1.0,0.9920280515610367,0.9870270893167393,0.9944322975840145,0.9905316572727543,0.9983660130718954,0.9954412394274937,0.9934369816752162,0.9970936824616695,0.9970631424375918,0.9971303736068426,0.9988851727982162,0.9986225895316805,0.9990662931839402,0.9981378026070763,1.0,0.9932201836963742,0.992247995595482,0.9945938720165807,0.9927820352878275,0.9964349376114082,0.9943026689832615,0.9925049650123777,0.995625021070686,0.9927333967142196,0.9985351487234121
"transformation[0, 1, 0.5]",0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.96,0.9557562256218604,0.966492982672758,0.9521343925983009,0.9813943699026572,0.9833333333333334,0.9787907737617348,0.9884039962224763,0.9876248715762782,0.989214547068595,0.991111111111111,0.985343567251462,0.9942740249085982,0.9928669360440184,0.995687134502924,0.9977777777777778,0.9973215438234155,0.9981056783904725,0.9962220937948159,1.0,0.9866666666666667,0.9845910130063581,0.989387999963169,0.9858790106951871,0.9929253692131584,0.9862962962962962,0.9835074132737848,0.989417466722271,0.9857553394204479,0.9931103725245811
"transformation[0, 2]",0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.9499999999999998,0.946360872507916,0.9579559589558357,0.9480182738609706,0.968205904571127,0.9877777777777778,0.9834049265781971,0.9914469185338438,0.9891040276314249,0.9938086850044447,0.9911111111111112,0.9890869970452038,0.9942836931090347,0.9956754631677232,0.992897734223984,0.9977777777777778,0.9973215438234155,0.9981056783904725,0.9962220937948159,1.0,0.9855555555555555,0.9849642522510988,0.9884671035832837,0.9893046089299471,0.9876897671189176,0.9851851851851853,0.9830011253590268,0.9885394499745593,0.986562226647364,0.9905271331631945
"transformation[0, 3]",1.0,1.0,1.0,1.0,1.0,0.9866666666666667,0.983829240223221,0.9887722481957805,0.9778024013761599,1.0,0.9922222222222222,0.9874645722326916,0.9945414709635744,0.9907324938015476,0.9983818770226538,0.9955555555555556,0.9939449317738792,0.9971159219684823,0.9970887918486172,0.9971491228070176,0.9988888888888888,0.9986338797814208,0.9990662931839402,0.9981378026070763,1.0,0.9933333333333333,0.9923524953436461,0.9946943242931078,0.992907400048967,0.9965095986038395,0.9944444444444445,0.9927605054679084,0.995706925086819,0.9928669981771326,0.9985647021583873
"transformation[1, 0, 0.2]",1.0,1.0,1.0,1.0,1.0,0.9799729379143581,0.9761382264821283,0.983379018519925,0.9709817026225694,0.9961013645224172,0.9920280515610367,0.9870270893167393,0.9944322975840145,0.9905316572727543,0.9983660130718954,0.9954412394274937,0.9934369816752162,0.9970936824616695,0.9970631424375918,0.9971303736068426,0.9988851727982162,0.9986225895316805,0.9990662931839402,0.9981378026070763,1.0,0.9932201836963742,0.992247995595482,0.9945938720165807,0.9927820352878275,0.9964349376114082,0.9933751828002051,0.991432749054837,0.9949105673183974,0.9918821703063339,0.9979585549396374
"transformation[1, 1, 0.2]",1.0,1.0,1.0,1.0,1.0,0.9799729379143581,0.9761382264821283,0.983379018519925,0.9709817026225694,0.9961013645224172,0.9920280515610367,0.9870270893167393,0.9944322975840145,0.9905316572727543,0.9983660130718954,0.9954412394274937,0.9934369816752162,0.9970936824616695,0.9970631424375918,0.9971303736068426,0.9988851727982162,0.9986225895316805,0.9990662931839402,0.9981378026070763,1.0,0.9932201836963742,0.992247995595482,0.9945938720165807,0.9927820352878275,0.9964349376114082,0.9933751828002051,0.991432749054837,0.9949105673183974,0.9918821703063339,0.9979585549396374
"transformation[1, 2, 0.2]",0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.9533333333333333,0.949218015365059,0.9608843098486645,0.948297620809881,0.9739201902854128,0.9877777777777778,0.9834049265781971,0.9914469185338438,0.9891040276314249,0.9938086850044447,0.9911111111111112,0.9890869970452038,0.9942836931090347,0.9956754631677232,0.992897734223984,0.9977777777777778,0.9973215438234155,0.9981056783904725,0.9962220937948159,1.0,0.9855555555555555,0.9849642522510988,0.9884671035832837,0.9893046089299471,0.9876897671189176,0.9857407407407407,0.983431417957994,0.9889743611078409,0.9865732881211358,0.9913877183611293
