name,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,pt2_accuracy,pt2_balanced_accuracy,pt2_f1_score,pt2_precision,pt2_recall,pt3_accuracy,pt3_balanced_accuracy,pt3_f1_score,pt3_precision,pt3_recall,pt4_accuracy,pt4_balanced_accuracy,pt4_f1_score,pt4_precision,pt4_recall,pt5_accuracy,pt5_balanced_accuracy,pt5_f1_score,pt5_precision,pt5_recall,pt6_accuracy,pt6_balanced_accuracy,pt6_f1_score,pt6_precision,pt6_recall
LogisticRegression,0.8931481481481481,0.8746934361943971,0.9189272540420405,0.9003690704158925,0.938281203632263,0.7522222222222222,0.7304031699691892,0.8024025939115367,0.7395467501677043,0.8769441206261659,0.9522222222222222,0.9460885047294787,0.9600775676149237,0.9400785468348095,0.9809635814520954,0.8977777777777778,0.8623172061058962,0.9296259639498453,0.9131044590685846,0.9471983242181309,0.9177777777777778,0.8489971222192406,0.9486694223661157,0.9282592987478622,0.9701405710930043,0.9144444444444444,0.9202422828405944,0.9248180924287119,0.96334207640556,0.8893750055015236,0.9244444444444443,0.9152412723302921,0.9402475582249418,0.92889336610763,0.9519382581365354
LinearRegression,0.8837037037037038,0.8726455699645874,0.9099357930527096,0.909174832396006,0.9107365422280255,0.8344444444444444,0.8389935764667614,0.8469842033219351,0.892121455195969,0.8065752691817929,0.9333333333333332,0.9319796222245849,0.9428718798136755,0.9466669287778412,0.9392780293274624,0.89,0.8874594753317719,0.9203850388684511,0.9503833112192246,0.892333170511022,0.9355555555555556,0.882872599938468,0.9594278891293145,0.9436709044009993,0.9757634148131835,0.8188888888888889,0.8035152417846833,0.8512698597526264,0.8256789534375125,0.8809772418917058,0.89,0.8713181516168884,0.9149836533591197,0.8870813397129188,0.9448733144561552
MultinomialNB,0.6494444444444444,0.6486975513451028,0.70560991478149,0.7699068070678643,0.6512597186776664,0.6188888888888889,0.6029073279059243,0.6827551285735791,0.6484003521471652,0.7223167663955204,0.5777777777777778,0.5922070270793793,0.5849606611196015,0.6889062531305724,0.5084172678473348,0.6699999999999999,0.7345316206381876,0.7168192580239791,0.9261759449871851,0.5852388356564322,0.5933333333333333,0.5253933023306373,0.7127866801168882,0.797541400953277,0.6443658396339523,0.9055555555555554,0.9189279890127621,0.9138007291853446,0.9933871603842764,0.8460377491357551,0.5311111111111111,0.5010011546022278,0.623312869598025,0.6255571504117247,0.6210924824503613
GaussianNB,0.8772222222222222,0.8943901628120182,0.8977002580737122,0.9703836505027419,0.8352389854986448,0.7966666666666667,0.8077503120677377,0.8040405309741927,0.8891993867132628,0.734529110814741,0.89,0.8968858628378539,0.9013212197838142,0.9495516877637131,0.8578860287612832,0.8588888888888889,0.8923368202642709,0.8919913067817946,0.9849112392430452,0.8152185716673723,0.9022222222222221,0.9335095887138795,0.9334266769668758,0.9969696969696971,0.8779481391763929,0.9211111111111111,0.9317190805822809,0.9291528374326843,0.9914110943522708,0.8742595543920477,0.8944444444444444,0.9130643313326227,0.9081073288741176,0.9913885323063756,0.8378824188146937
KNeighborsClassifier,0.7518518518518519,0.7154813176238317,0.8137474749895658,0.7888324010446374,0.8406854017053437,0.7799999999999999,0.782970555034067,0.7974446700253153,0.836463822312879,0.7624405421202365,0.6155555555555555,0.59844435934331,0.6831809448088517,0.6638335116358479,0.7111978842132957,0.7677777777777778,0.7006872405635987,0.8399539714231744,0.8264899382323625,0.8554577808254425,0.8144444444444444,0.6002976807678325,0.8918721926971758,0.8214361661730082,0.9759444811470797,0.9011111111111111,0.9139881025555145,0.9099014226291099,0.9868616717983807,0.8442321788103433,0.6322222222222221,0.5616635440486426,0.7413406794658582,0.6604940713608642,0.8451543926970375
KNeighborsRegressor,0.7564814814814814,0.6885583253299808,0.8301608815064636,0.7546488934599189,0.9224993570340475,0.7855555555555557,0.776543747862311,0.8128287076640369,0.8091575832133828,0.818895792228146,0.6355555555555555,0.5811157527030234,0.7420420507069018,0.6327755341555158,0.8969574950267013,0.7877777777777778,0.6614268571256791,0.8642108247371404,0.792722762380557,0.9507428615431461,0.8133333333333334,0.5896347337360862,0.8918993317096512,0.8174069926589523,0.9815615136166776,0.8566666666666666,0.8495144660807795,0.8807088582627504,0.8714526453218867,0.891425259808711,0.66,0.5599627873920324,0.779107011253839,0.655382799023024,0.9606545745204755
DecisionTreeClassifier,0.9833333333333334,0.9813274523867975,0.9870895046033512,0.9859864403511037,0.9882312501236473,0.998888888888889,0.9987745098039217,0.9989868287740628,0.9979797979797981,1.0,0.9511111111111111,0.9483502335106812,0.9585962982097765,0.9514433084255908,0.9662825572217839,0.9811111111111112,0.9759686345991266,0.9868709965338588,0.9861222192870321,0.9876854950808275,0.9877777777777776,0.9832178729599451,0.9921344727846276,0.992847783358812,0.9914357459198904,0.9977777777777779,0.9973215438234155,0.9981056783904724,0.9962220937948159,1.0,0.9833333333333334,0.9831497375075222,0.9866651453232791,0.9892947129234337,0.9840861635153141
DecisionTreeRegressor,0.9837037037037036,0.9817321162729735,0.9873814393076455,0.9862605018102023,0.9885181118562922,0.998888888888889,0.9987745098039217,0.9989868287740628,0.9979797979797981,1.0,0.9555555555555557,0.9521597573202049,0.962557433627035,0.9517877055154353,0.9739016048408314,0.98,0.9765041777526303,0.9860840759817718,0.9875620152473762,0.9846413550503862,0.9866666666666667,0.98256896585612,0.9914299163567852,0.9928187747241597,0.9900468570310016,0.9977777777777779,0.9973215438234155,0.9981056783904724,0.9962220937948159,1.0,0.9833333333333334,0.9831497375075222,0.9866651453232791,0.9892947129234337,0.9840861635153141
RandomForestClassifier,0.9838888888888889,0.98187888702144,0.9875253807888468,0.9862522665976082,0.9888034898213544,1.0,1.0,1.0,1.0,1.0,0.9499999999999998,0.946360872507916,0.9579559589558356,0.9480182738609705,0.968205904571127,0.9755555555555556,0.9700935630104319,0.982877023681488,0.9828341445855711,0.9829271791109143,0.9944444444444445,0.9932139376218324,0.9963801291677349,0.9970760233918128,0.995687134502924,0.998888888888889,0.9986338797814208,0.9990662931839402,0.9981378026070763,1.0,0.9844444444444443,0.9840067502464764,0.9875246055821831,0.9892838102736974,0.9857747631096728
RandomForestRegressor,0.9842592592592592,0.9795841687956485,0.9878986095376275,0.9802276098510362,0.9956936118859675,0.998888888888889,0.9987745098039217,0.9989868287740628,0.9979797979797981,1.0,0.9511111111111111,0.9440369490209034,0.9595396376559812,0.9353160380042099,0.9850776111549592,0.9888888888888889,0.9841659615858074,0.9922131542362669,0.9891178646315634,0.9953307550196655,0.9811111111111112,0.9612567107659861,0.9879708381461136,0.9790349154143815,0.9971491228070174,0.9966666666666667,0.9959554236048364,0.9971771878136085,0.9943805874840358,1.0,0.9888888888888888,0.9863831277016986,0.9911896085422573,0.9859355989870696,0.9965095986038395
SVC,0.7540740740740741,0.6593178524667411,0.8379709959140711,0.7287834123400833,0.9856485053514551,0.7155555555555555,0.6752672756402224,0.7942609205785546,0.6736598915989159,0.9682051712612982,0.6811111111111111,0.6214703833371701,0.780715636082088,0.6534253278528088,0.9698321309719972,0.8077777777777778,0.6679221499698572,0.8806588421248209,0.7907542247786156,0.9938907740214765,0.8266666666666668,0.6046076406396179,0.8998761662764675,0.822879538666028,0.992897734223984,0.81,0.7680851067726647,0.8612631955627125,0.7586206896551725,0.9962958389924682,0.6833333333333332,0.582481674808797,0.7956369218730831,0.6662278700988379,0.9875102767012917
SVR,0.7548148148148147,0.6579007883864163,0.8392067692803997,0.7273793506543923,0.9916750746829684,0.7200000000000001,0.6785134428145517,0.7985507832483264,0.6748610173848774,0.9783432846906254,0.6811111111111111,0.6193044047860193,0.782355063022265,0.651487781701158,0.9791851021045553,0.81,0.6682083004698264,0.8823369069864492,0.7905280209203305,0.9984779299847792,0.8211111111111111,0.5856566268580125,0.8975661208729541,0.8153842912616622,0.99860529986053,0.8133333333333334,0.7722760857483061,0.8633682071654024,0.7619458887577487,0.9962958389924682,0.6833333333333332,0.5800001153716016,0.796795877382441,0.6646260456423594,0.9945945945945946
CBF,0.7929629629629629,0.7758920702964117,0.8386940734040657,0.8428750437195887,0.834660316141413,0.7411111111111112,0.73959245479708,0.7687320628846691,0.7819699159077937,0.7572450079061892,0.6944444444444445,0.6906102454605777,0.7320739358174815,0.7523744226182071,0.7135961450587796,0.8622222222222223,0.828545979499761,0.9036294174190829,0.9008921922273578,0.9064229944690577,0.8044444444444445,0.7005894867741486,0.8759403653165837,0.871097615834458,0.8809452151997847,0.8922222222222222,0.8883404696557905,0.9090346737281197,0.9087137403518243,0.9096731892731115,0.7633333333333333,0.748598402332691,0.809525886577431,0.8123621254498573,0.8076673701230362
CF,0.8231481481481482,0.7508908886216608,0.8794820635049447,0.7851241912011812,0.9997131382673551,0.7799999999999999,0.7463294197010958,0.837933966174722,0.7223453135755585,1.0,0.7977777777777778,0.7565867153062774,0.8528704820111533,0.7440255373163489,1.0,0.8566666666666666,0.749230664095451,0.9086745236353595,0.8327641848883379,1.0,0.8988888888888887,0.7664095108895849,0.9393616204891885,0.8868481160746232,0.99860529986053,0.8022222222222223,0.7577108397710358,0.8568609663722061,0.7497425031635325,1.0,0.8033333333333333,0.7381462898037542,0.8641017186339249,0.7609579137211325,1.0
layer1,0.6248148148148148,0.6010826220241468,0.7013030434225653,0.7208380809033699,0.6828209389281263,0.47444444444444445,0.466596133099976,0.5289510006901311,0.5396371703919589,0.5194304422191581,0.5955555555555555,0.59141030543421,0.6410001208293411,0.6677753058121155,0.6168509671969981,0.6588888888888889,0.6338590924303268,0.7436065849858954,0.8020356150151547,0.6932767942686545,0.6855555555555556,0.5450950028325877,0.7970446387129927,0.8045768644839852,0.7900685727568574,0.7022222222222222,0.689107481942495,0.7493461257277138,0.7456265926370963,0.7552367962837536,0.6322222222222221,0.6167551055417232,0.6965192396171664,0.7171515451790298,0.6777267556358927
layer2,0.8022222222222223,0.7957631915930629,0.8421770210255021,0.8678269885893887,0.8180154113992918,0.8333333333333334,0.837768086270683,0.8460724867196454,0.8900587878994801,0.8065752691817929,0.8155555555555556,0.8160482957209744,0.8379171298606187,0.8632012870203156,0.8144034118445284,0.7399999999999999,0.7280073976697832,0.8059557156195812,0.861699349927986,0.757117172005571,0.8055555555555557,0.7238307778872839,0.8748475098505311,0.8818036324488511,0.8680622843720179,0.8244444444444444,0.8192210668813371,0.8512086015161447,0.8546577322296676,0.847895182473347,0.7944444444444446,0.788824218745658,0.8310515441496302,0.85445269446758,0.8094513192469619
layer3,0.9696296296296296,0.9654260781932026,0.9765382457025659,0.9731958291795623,0.9799068193958099,0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.9044444444444445,0.8985061345670772,0.9197415108432058,0.9060285485210562,0.9340576733423491,0.9666666666666667,0.9591251356856754,0.9767321017853646,0.9766543816743579,0.9768319170774845,0.9744444444444444,0.9549733374408196,0.9837132087132088,0.9775146570601118,0.9900468570310016,0.9966666666666666,0.9959554236048364,0.9971771878136085,0.9943805874840358,1.0,0.9766666666666666,0.976596107105693,0.9812583009778266,0.9856702538179384,0.9769355574118284
"transformation[0, 0]",0.9696296296296296,0.9654260781932026,0.9765382457025659,0.9731958291795623,0.9799068193958099,0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.9044444444444445,0.8985061345670772,0.9197415108432058,0.9060285485210562,0.9340576733423491,0.9666666666666667,0.9591251356856754,0.9767321017853646,0.9766543816743579,0.9768319170774845,0.9744444444444444,0.9549733374408196,0.9837132087132088,0.9775146570601118,0.9900468570310016,0.9966666666666666,0.9959554236048364,0.9971771878136085,0.9943805874840358,1.0,0.9766666666666666,0.976596107105693,0.9812583009778266,0.9856702538179384,0.9769355574118284
"transformation[0, 1, 0.5]",0.9862962962962962,0.9835074132737848,0.989417466722271,0.9857553394204479,0.9931103725245811,0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.96,0.9557562256218604,0.966492982672758,0.9521343925983009,0.9813943699026572,0.9833333333333334,0.9787907737617348,0.9884039962224763,0.9876248715762782,0.989214547068595,0.991111111111111,0.985343567251462,0.9942740249085982,0.9928669360440184,0.995687134502924,0.9977777777777778,0.9973215438234155,0.9981056783904725,0.9962220937948159,1.0,0.9866666666666667,0.9845910130063581,0.989387999963169,0.9858790106951871,0.9929253692131584
"transformation[0, 2]",0.9851851851851853,0.9830011253590268,0.9885394499745593,0.986562226647364,0.9905271331631945,0.9988888888888888,0.9987745098039215,0.9989868287740628,0.9979797979797981,1.0,0.9499999999999998,0.946360872507916,0.9579559589558357,0.9480182738609706,0.968205904571127,0.9877777777777778,0.9834049265781971,0.9914469185338438,0.9891040276314249,0.9938086850044447,0.9911111111111112,0.9890869970452038,0.9942836931090347,0.9956754631677232,0.992897734223984,0.9977777777777778,0.9973215438234155,0.9981056783904725,0.9962220937948159,1.0,0.9855555555555555,0.9849642522510988,0.9884671035832837,0.9893046089299471,0.9876897671189176
