name,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,pt2_accuracy,pt2_balanced_accuracy,pt2_f1_score,pt2_precision,pt2_recall,pt3_accuracy,pt3_balanced_accuracy,pt3_f1_score,pt3_precision,pt3_recall,pt4_accuracy,pt4_balanced_accuracy,pt4_f1_score,pt4_precision,pt4_recall,pt5_accuracy,pt5_balanced_accuracy,pt5_f1_score,pt5_precision,pt5_recall,pt6_accuracy,pt6_balanced_accuracy,pt6_f1_score,pt6_precision,pt6_recall
LogisticRegression,0.9041666666666667,0.890590262256549,0.9248856956237753,0.9053708439897699,0.945260347129506,0.755,0.7332480818414322,0.8047808764940239,0.7426470588235294,0.8782608695652174,0.96,0.956530760452329,0.9666666666666667,0.9586776859504132,0.9747899159663865,0.895,0.8736382267285082,0.9201520912547527,0.8897058823529411,0.952755905511811,0.915,0.7850815024805102,0.9504373177842566,0.9209039548022598,0.9819277108433735,0.945,0.9461152882205515,0.9463414634146342,0.97,0.9238095238095239,0.955,0.9580372773143857,0.9606986899563319,0.9821428571428571,0.9401709401709402
LinearRegression,0.8775,0.8639353580087568,0.9034799737360473,0.8888888888888888,0.9185580774365821,0.77,0.7524296675191815,0.8130081300813008,0.7633587786259542,0.8695652173913043,0.96,0.9604730781201369,0.9661016949152542,0.9743589743589743,0.957983193277311,0.9,0.8717506202135692,0.9253731343283583,0.8794326241134752,0.9763779527559056,0.91,0.8054571226080793,0.9467455621301776,0.9302325581395349,0.963855421686747,0.84,0.844110275689223,0.8333333333333334,0.9195402298850575,0.7619047619047619,0.885,0.8736999279167954,0.9053497942386831,0.873015873015873,0.9401709401709402
MultinomialNB,0.66,0.657944517301709,0.7098150782361309,0.7595129375951294,0.6662216288384513,0.635,0.6104859335038363,0.7091633466135459,0.6544117647058824,0.7739130434782608,0.56,0.5553480651519868,0.6106194690265487,0.6448598130841121,0.5798319327731093,0.665,0.7129220148851256,0.6699507389162562,0.8947368421052632,0.5354330708661418,0.62,0.5021261516654855,0.7483443708609272,0.8308823529411765,0.6807228915662651,0.91,0.9137844611528823,0.9072164948453609,0.9887640449438202,0.8380952380952381,0.57,0.5607043558850788,0.6260869565217391,0.6371681415929203,0.6153846153846154
GaussianNB,0.875,0.8910446744957801,0.8919308357348703,0.9687010954616588,0.8264352469959947,0.79,0.8020460358056266,0.7980769230769232,0.8924731182795699,0.7217391304347827,0.925,0.9310613134142546,0.9344978165938865,0.9727272727272728,0.8991596638655462,0.85,0.870240535001618,0.8706896551724139,0.9619047619047619,0.7952755905511811,0.865,0.9069808646350106,0.9120521172638437,0.9929078014184397,0.8433734939759037,0.945,0.9471177944862155,0.945273631840796,0.9895833333333334,0.9047619047619048,0.875,0.8914118010503552,0.8815165876777251,0.9893617021276596,0.7948717948717948
KNeighborsClassifier,0.7433333333333333,0.7158783773782634,0.8007761966364813,0.7766624843161857,0.8264352469959947,0.765,0.7526854219948849,0.803347280334728,0.7741935483870968,0.8347826086956521,0.625,0.6079987550575785,0.6887966804979253,0.680327868852459,0.6974789915966386,0.7,0.6705856973357782,0.7674418604651163,0.7557251908396947,0.7795275590551181,0.84,0.5527994330262225,0.9111111111111111,0.845360824742268,0.9879518072289156,0.895,0.8969924812030075,0.8955223880597014,0.9375,0.8571428571428571,0.635,0.6127587272165586,0.7044534412955465,0.6692307692307692,0.7435897435897436
KNeighborsRegressor,0.7525,0.6941095148298249,0.8241563055062168,0.7404255319148936,0.9292389853137517,0.775,0.7491048593350383,0.8249027237354085,0.7464788732394366,0.9217391304347826,0.61,0.5421724245253657,0.7328767123287672,0.6184971098265896,0.8991596638655462,0.755,0.6847697120051774,0.8304498269896194,0.7407407407407407,0.9448818897637795,0.85,0.5705173635719348,0.9166666666666667,0.8505154639175257,0.9939759036144579,0.895,0.8949874686716792,0.8995215311004785,0.9038461538461539,0.8952380952380953,0.63,0.5769745649263721,0.7375886524822693,0.6303030303030303,0.8888888888888888
DecisionTreeClassifier,0.985,0.9840141622680944,0.9879839786381842,0.9879839786381842,0.9879839786381842,1.0,1.0,1.0,1.0,1.0,0.965,0.9607324411245979,0.9709543568464729,0.9590163934426229,0.9831932773109243,0.98,0.9784273541149822,0.984251968503937,0.984251968503937,0.984251968503937,0.975,0.9732459248759745,0.9848024316109423,0.9938650306748467,0.9759036144578314,1.0,1.0,1.0,1.0,1.0,0.99,0.9897023993409535,0.9914529914529915,0.9914529914529915,0.9914529914529915
DecisionTreeRegressor,0.9841666666666666,0.9829055148179835,0.9873248832555037,0.9866666666666667,0.9879839786381842,1.0,1.0,1.0,1.0,1.0,0.96,0.9545596016184251,0.9669421487603305,0.9512195121951219,0.9831932773109243,0.98,0.9784273541149822,0.984251968503937,0.984251968503937,0.984251968503937,0.975,0.9732459248759745,0.9848024316109423,0.9938650306748467,0.9759036144578314,1.0,1.0,1.0,1.0,1.0,0.99,0.9897023993409535,0.9914529914529915,0.9914529914529915,0.9914529914529915
RandomForestClassifier,0.9866666666666667,0.9840260036293773,0.9893758300132803,0.9841479524438573,0.9946595460614153,1.0,1.0,1.0,1.0,1.0,0.96,0.9545596016184251,0.9669421487603305,0.9512195121951219,0.9831932773109243,0.995,0.9931506849315068,0.996078431372549,0.9921875,1.0,0.97,0.935152374202693,0.9820359281437125,0.9761904761904762,0.9879518072289156,1.0,1.0,1.0,1.0,1.0,0.995,0.9939759036144578,0.9957446808510638,0.9915254237288136,1.0
RandomForestRegressor,0.9841666666666666,0.9807000612790446,0.9874088800530153,0.9802631578947368,0.9946595460614153,1.0,1.0,1.0,1.0,1.0,0.955,0.9464156032783484,0.963265306122449,0.9365079365079365,0.9915966386554622,0.985,0.9823643619889979,0.988235294117647,0.984375,0.9921259842519685,0.975,0.9381644223954642,0.9850746268656716,0.9763313609467456,0.9939759036144579,1.0,1.0,1.0,1.0,1.0,0.99,0.9897023993409535,0.9914529914529915,0.9914529914529915,0.9914529914529915
SVC,0.7275,0.6410010094760493,0.8192371475953565,0.6990566037735849,0.9893190921228304,0.71,0.6634271099744246,0.7943262411347517,0.6706586826347305,0.9739130434782609,0.67,0.5945637514264965,0.7814569536423842,0.644808743169399,0.9915966386554622,0.725,0.6261999784273541,0.8208469055374592,0.7,0.9921259842519685,0.86,0.5999291282778172,0.9217877094972067,0.859375,0.9939759036144579,0.75,0.7368421052631579,0.8076923076923077,0.6774193548387096,1.0,0.65,0.5818144372361239,0.7666666666666666,0.6284153005464481,0.9829059829059829
SVR,0.7033333333333334,0.6494305785393089,0.7847642079806528,0.7171270718232045,0.8664886515353805,0.72,0.6721227621483377,0.8028169014084507,0.6745562130177515,0.991304347826087,0.65,0.575785869903517,0.7666666666666668,0.6353591160220995,0.9663865546218487,0.72,0.619350663358861,0.8181818181818182,0.6961325966850829,0.9921259842519685,0.855,0.5735294117647058,0.9196675900277007,0.8512820512820513,1.0,0.75,0.73734335839599,0.8062015503875969,0.6797385620915033,0.9904761904761905,0.525,0.5905159097930183,0.3356643356643357,0.9230769230769231,0.20512820512820512
CBF,0.785,0.7691052963448678,0.8286852589641435,0.8243064729194187,0.8331108144192256,0.765,0.7557544757033248,0.8,0.7833333333333333,0.8173913043478261,0.715,0.713196389666978,0.7510917030567685,0.7818181818181819,0.7226890756302521,0.815,0.7902599503829144,0.8582375478927202,0.835820895522388,0.8818897637795275,0.82,0.7512402551381998,0.8875,0.922077922077922,0.8554216867469879,0.86,0.8566416040100251,0.8738738738738739,0.8290598290598291,0.9238095238095239,0.735,0.7227371022551745,0.7782426778242677,0.7622950819672131,0.7948717948717948
CF,0.82,0.760973241483841,0.8738317757009346,0.7767393561786086,0.9986648865153538,0.785,0.7470588235294118,0.8424908424908425,0.7278481012658228,1.0,0.81,0.7654320987654322,0.8623188405797102,0.7579617834394905,1.0,0.835,0.773972602739726,0.8850174216027874,0.79375,1.0,0.915,0.7616938341601701,0.9510086455331411,0.9116022099447514,0.9939759036144579,0.76,0.7473684210526316,0.813953488372093,0.6862745098039216,1.0,0.815,0.7771084337349398,0.8634686346863468,0.7597402597402597,1.0
