name,overall_balanced_accuracy,pt1_balanced_accuracy,pt2_balanced_accuracy,pt3_balanced_accuracy,pt4_balanced_accuracy,pt5_balanced_accuracy,pt6_balanced_accuracy
layer1,1,1,1,1,1,1,1
layer2,1,1,1,1,1,1,1
layer3,0.9881758,1,0.963541667,0.988095238,1,1,0.979508197
ci0_choice0,0.9881758,1,0.963541667,0.988095238,1,1,0.979508197
ci0_choice1_thr0.5,0.976956146,0.996,0.951239893,0.966292135,0.982017279,0.995901639,0.971774194
ci0_choice2,0.968222137,1,0.890645467,0.980776399,0.982017279,0.995901639,0.971774194
ci0_choice3,0.988860336,1,0.970323863,0.988764045,1,1,0.97983871
ci1_choice0_thr0.2,0.9881758,1,0.963541667,0.988095238,1,1,0.979508197
ci1_choice1_thr0.2,0.9881758,1,0.963541667,0.988095238,1,1,0.979508197
ci1_choice2_thr0.2,0.968222137,1,0.890645467,0.980776399,0.982017279,0.995901639,0.971774194
ci1_choice3_thr0.2,0.988860336,1,0.970323863,0.988764045,1,1,0.97983871
