name,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,pt2_accuracy,pt2_balanced_accuracy,pt2_f1_score,pt2_precision,pt2_recall,pt3_accuracy,pt3_balanced_accuracy,pt3_f1_score,pt3_precision,pt3_recall,pt4_accuracy,pt4_balanced_accuracy,pt4_f1_score,pt4_precision,pt4_recall,pt5_accuracy,pt5_balanced_accuracy,pt5_f1_score,pt5_precision,pt5_recall,pt6_accuracy,pt6_balanced_accuracy,pt6_f1_score,pt6_precision,pt6_recall,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall
LogisticRegression,0.7442857142857143,0.7204917733092447,0.7946278845266928,0.7262536746407713,0.8786007603131587,0.9485714285714286,0.9459251236474738,0.9561921738133327,0.940899561523705,0.9736684981684981,0.9028571428571428,0.8800327183582999,0.9291697880791947,0.9142916704061097,0.945393072044235,0.9214285714285715,0.8651922108799338,0.9498899897258442,0.9353203287808455,0.9671846108181212,0.9214285714285715,0.9209578705333428,0.9319472197758815,0.9541163643161698,0.9126454670196107,0.9214285714285714,0.915806871874356,0.935248761652779,0.9254183977393909,0.9456642185972071,0.8933333333333333,0.8764604497569186,0.9175444552209238,0.8972179263312775,0.9390545527887376
LinearRegression,0.8271428571428571,0.8279901194526179,0.8426492026492027,0.8646173014528171,0.82531014754592,0.9342857142857144,0.9329412231393798,0.9436852319434486,0.9351790650786722,0.9543443223443223,0.8985714285714286,0.8947281069490371,0.9240807945767434,0.9413797036923326,0.9088009432428036,0.9142857142857143,0.8848852084001404,0.9441511215596912,0.9496520824565444,0.9393769393100289,0.8314285714285713,0.8266761144787619,0.8611693982556602,0.8676954355601023,0.8657196634611134,0.8871428571428572,0.8771944853434792,0.9059254883309524,0.8925276944860903,0.9220917120921435,0.8821428571428571,0.8737387118302214,0.9068502383963525,0.9100281628412148,0.9042054960589256
MultinomialNB,0.6142857142857142,0.5958598150208588,0.6779930236069315,0.6406892477168921,0.723696928635953,0.5599999999999999,0.5767857902466197,0.5573542461198102,0.6764034906892049,0.47704029304029305,0.6900000000000001,0.7400973268763966,0.7255603340269154,0.9127540911140987,0.6042829728411124,0.5900000000000001,0.5290668738861969,0.7056474831813567,0.7881913038101389,0.6426463319623974,0.9014285714285715,0.9173973965562092,0.9113595797129763,0.9943661971830986,0.8417941844696921,0.54,0.5175710270564993,0.620315112824476,0.6121540039918358,0.6313324975722324,0.6492857142857142,0.6486066045778204,0.7022312408616316,0.7611870137404921,0.6522596586891988
GaussianNB,0.8157142857142856,0.827052031001162,0.8187953263497179,0.9173204304655919,0.74041911321891,0.8800000000000001,0.8873782979693118,0.892076319094541,0.938687167042145,0.8528992673992674,0.8614285714285714,0.882820913367425,0.8902823226985838,0.9704715811708582,0.8225506586436818,0.8914285714285715,0.927861340993972,0.9246833365919797,0.9978021978021978,0.8623893486546104,0.9228571428571428,0.9345035710678667,0.9320826950270729,0.9920239099859354,0.8795153054228312,0.8785714285714287,0.8949457306368622,0.8883843183627192,0.9862056549825267,0.8086895046000697,0.875,0.8916068538010581,0.8936391920873824,0.9693502804869812,0.829098065985843
KNeighborsClassifier,0.787142857142857,0.7851886874343574,0.8064044927356185,0.8212650602409639,0.7939210704607046,0.5971428571428572,0.5770231385358114,0.6747884314225077,0.6387911781265785,0.724346153846154,0.7771428571428572,0.7410253940719057,0.8366093871566223,0.8347691757862565,0.8403128964059196,0.7985714285714286,0.5716043312127373,0.8823108122529891,0.8030372983202956,0.9794901229004835,0.8828571428571429,0.8948052202065353,0.8950962058339662,0.967481041393438,0.8337200044605307,0.65,0.6052860917951135,0.7385545479740434,0.6666871984198717,0.828545285055441,0.7488095238095238,0.7136625184338629,0.8091510595894977,0.7805262450268473,0.8406321475641704
KNeighborsRegressor,0.7842857142857144,0.7698491156478113,0.8202269715245005,0.772164315590208,0.8781507828967179,0.63,0.5679282127242956,0.7496200915193938,0.619390127950476,0.9540897435897435,0.7885714285714285,0.7008826939640893,0.8564068340307524,0.7920120373744617,0.9347853309481217,0.7914285714285713,0.557131868332673,0.8788759902706991,0.7964681555224266,0.9814975780927357,0.8814285714285713,0.8847435618686216,0.8977940158806286,0.9368329949667977,0.8627042392721176,0.6342857142857142,0.5575506028873728,0.7527731758965948,0.6306471994054152,0.9347119331120428,0.7516666666666667,0.6856240380881301,0.8257672017256599,0.7444137748770588,0.9279651845055288
DecisionTreeClassifier,0.9957142857142858,0.9963414634146341,0.9962732919254659,1.0,0.9926829268292682,0.9485714285714286,0.9471824749751017,0.9561113731085799,0.9563209534614077,0.9570036630036631,0.9742857142857144,0.9721160140462466,0.9808045542555905,0.9806112164440794,0.9814257602862254,0.9828571428571429,0.9769033139723629,0.9890077765172789,0.9908318123395906,0.9872864814245789,0.9985714285714286,0.9989361702127659,0.9989304812834223,1.0,0.997872340425532,0.9814285714285715,0.9797711156044102,0.9847124837501152,0.9813781223083549,0.988246221310893,0.9802380952380952,0.9790075060485368,0.9844186911725881,0.9849137769442791,0.9839821040270911
DecisionTreeRegressor,0.9957142857142858,0.9963414634146341,0.9962732919254659,1.0,0.9926829268292682,0.9471428571428572,0.9469226675781975,0.9542947539950163,0.9603868866034656,0.9491923076923078,0.9742857142857144,0.9721160140462466,0.9808045542555905,0.9806112164440794,0.9814257602862254,0.9828571428571429,0.9769033139723629,0.9890077765172789,0.9908318123395906,0.9872864814245789,0.9985714285714286,0.9989361702127659,0.9989304812834223,1.0,0.997872340425532,0.9842857142857143,0.9821863636765766,0.987155133193354,0.9814951873656668,0.9930767174552259,0.9804761904761904,0.9796092301220647,0.9845942115407507,0.9856003050260517,0.9836660511854856
RandomForestClassifier,0.9985714285714286,0.998780487804878,0.9987730061349694,1.0,0.9975609756097562,0.95,0.9481048935703313,0.9566864457420824,0.9510480242011722,0.9634139194139195,0.9828571428571429,0.9819711124362287,0.9873976042240047,0.9891701752461588,0.9857513416815742,0.9871428571428572,0.9808660332103113,0.991666489455963,0.990657520712481,0.9927577074462637,0.9971428571428571,0.9977867449254096,0.9977744119192605,1.0,0.9955734898508194,0.9871428571428572,0.9869397865321148,0.9895066384795941,0.9905767174552258,0.9884790163058005,0.9838095238095239,0.9826991286475865,0.9872815264222595,0.9871580627743262,0.9874428610353796
RandomForestRegressor,0.99,0.9893778570887312,0.9911620124774639,0.9872551368701824,0.9951219512195122,0.9414285714285715,0.934570082375382,0.9502982599792642,0.9233431953619847,0.9803021978021977,0.9771428571428572,0.9719241038892201,0.9831761300255367,0.9788563065406073,0.9877513416815742,0.9728571428571428,0.9415216447389623,0.9829212109551463,0.9698182694367101,0.9964274322169059,0.9985714285714286,0.9989361702127659,0.9989304812834223,1.0,0.997872340425532,0.99,0.9873222898122374,0.9918112429845063,0.9838234838809552,1.0,0.9783333333333333,0.9731581252540271,0.983089138200895,0.9734053519242044,0.9930506916874646
