name,overall_balanced_accuracy,pt1_balanced_accuracy,pt2_balanced_accuracy,pt3_balanced_accuracy,pt4_balanced_accuracy,pt5_balanced_accuracy,pt6_balanced_accuracy
LogisticRegression,0.870510912,0.752571429,0.890645467,0.883433623,0.830219007,0.924848038,0.917980205
LinearRegression,0.849332341,0.805142857,0.943222368,0.860349326,0.863572433,0.780576533,0.84045088
MultinomialNB,0.666230366,0.609714286,0.617801165,0.756882688,0.548724131,0.920058943,0.541605572
GaussianNB,0.893947036,0.806285714,0.912010479,0.888971724,0.924050633,0.932814515,0.90954912
KNeighborsClassifier,0.705105112,0.785142857,0.589096165,0.707705416,0.548724131,0.918769571,0.560392229
KNeighborsRegressor,0.673695503,0.770285714,0.57003478,0.663187603,0.550833836,0.849788175,0.562866569
DecisionTreeClassifier,0.974014122,0.996,0.928429468,0.971910112,0.983624673,0.995901639,0.971774194
DecisionTreeRegressor,0.978597275,0.996,0.956773115,0.971910112,0.983624673,0.995901639,0.971774194
RandomForestClassifier,0.981655379,1,0.949997742,0.980776399,0.982017279,1,0.976997801
RandomForestRegressor,0.97236899,0.996,0.92538055,0.966292135,0.984126984,0.995901639,0.971774194
SVC,0.641009014,0.657714286,0.602669497,0.657303371,0.567209162,0.751289372,0.576154692
SVR,0.636201707,0.646285714,0.606486291,0.646067416,0.553445851,0.751289372,0.573313783
CBF,0.787469779,0.774857143,0.690907448,0.843761649,0.682740607,0.894870142,0.769428152
CF,0.835190611,0.832,0.855820046,0.814606742,0.825396825,0.840163934,0.830645161
layer1,0.592611717,0.503428571,0.530014906,0.685419884,0.508840667,0.680604163,0.586693548
layer2,0.763012953,0.801142857,0.732801843,0.767399755,0.663753265,0.812212194,0.748075513
layer3,0.95249932,0.996,0.844460003,0.958304489,0.95981515,0.995901639,0.968933284
ci0_choice0,0.95249932,0.996,0.844460003,0.958304489,0.95981515,0.995901639,0.968933284
ci0_choice1_thr0.5,0.976956146,0.996,0.951239893,0.966292135,0.982017279,0.995901639,0.971774194
ci0_choice2,0.968222137,1,0.890645467,0.980776399,0.982017279,0.995901639,0.971774194
ci0_choice3,0.988860336,1,0.970323863,0.988764045,1,1,0.97983871
ci1_choice0_thr0.2,0.95249932,0.996,0.844460003,0.958304489,0.95981515,0.995901639,0.968933284
ci1_choice1_thr0.2,0.95249932,0.996,0.844460003,0.958304489,0.95981515,0.995901639,0.968933284
ci1_choice2_thr0.2,0.968222137,1,0.890645467,0.980776399,0.982017279,0.995901639,0.971774194
ci1_choice3_thr0.2,0.988860336,1,0.970323863,0.988764045,1,1,0.97983871
