name,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall
layer1,0.8164414414414415,0.8055656546518714,0.8457899716177861,0.7842105263157895,0.917864476386037,0.8164414414414415,0.8055656546518714,0.8457899716177861,0.7842105263157895,0.917864476386037
layer2,0.7997936016511867,0.7948167521338253,0.8223443223443223,0.7822299651567944,0.8667953667953668,0.7997936016511867,0.7948167521338253,0.8223443223443223,0.7822299651567944,0.8667953667953668
layer3,0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243,0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243
"transformation[0, 0]",0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243,0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243
"transformation[0, 1, 0.5]",0.7625,0.7614955552651409,0.7750591949486977,0.7577160493827161,0.7932148626817448,0.7625,0.7614955552651409,0.7750591949486977,0.7577160493827161,0.7932148626817448
"transformation[0, 2]",0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402,0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402
"transformation[0, 3]",0.8225,0.8212916285497401,0.8332028191072828,0.8085106382978723,0.8594507269789984,0.8225,0.8212916285497401,0.8332028191072828,0.8085106382978723,0.8594507269789984
"transformation[1, 0, 0.2]",0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243,0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243
"transformation[1, 1, 0.2]",0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243,0.7973358705994291,0.7962481157235621,0.8093106535362578,0.7820069204152249,0.8385899814471243
"transformation[1, 2, 0.2]",0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402,0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402
"transformation[1, 3, 0.2]",0.8225,0.8212916285497401,0.8332028191072828,0.8085106382978723,0.8594507269789984,0.8225,0.8212916285497401,0.8332028191072828,0.8085106382978723,0.8594507269789984
