name,overall_accuracy,overall_balanced_accuracy,overall_f1_score,overall_precision,overall_recall,pt1_accuracy,pt1_balanced_accuracy,pt1_f1_score,pt1_precision,pt1_recall
LogisticRegression,0.7625,0.7619710320627073,0.7718174539631705,0.765079365079365,0.778675282714055,0.7625,0.7619710320627073,0.7718174539631705,0.765079365079365,0.778675282714055
LinearRegression,0.7516666666666667,0.7477720714383034,0.7834302325581395,0.7120211360634082,0.8707592891760905,0.7516666666666667,0.7477720714383034,0.7834302325581395,0.7120211360634082,0.8707592891760905
MultinomialNB,0.61,0.6158953839822712,0.5320000000000001,0.6981627296587927,0.4297253634894992,0.61,0.6158953839822712,0.5320000000000001,0.6981627296587927,0.4297253634894992
GaussianNB,0.7225,0.7229874957943938,0.7245657568238213,0.7423728813559322,0.7075928917609047,0.7225,0.7229874957943938,0.7245657568238213,0.7423728813559322,0.7075928917609047
KNeighborsClassifier,0.7,0.6989064033655972,0.7160883280757097,0.699537750385208,0.7334410339256866,0.7,0.6989064033655972,0.7160883280757097,0.699537750385208,0.7334410339256866
KNeighborsRegressor,0.7216666666666667,0.7176891271525057,0.7576197387518142,0.6877470355731226,0.8432956381260097,0.7216666666666667,0.7176891271525057,0.7576197387518142,0.6877470355731226,0.8432956381260097
DecisionTreeClassifier,0.7208333333333333,0.7197870642505402,0.7355958958168903,0.7191358024691358,0.752827140549273,0.7208333333333333,0.7197870642505402,0.7355958958168903,0.7191358024691358,0.752827140549273
DecisionTreeRegressor,0.7208333333333333,0.7151907885407311,0.7675225537820959,0.6727493917274939,0.8933764135702746,0.7208333333333333,0.7151907885407311,0.7675225537820959,0.6727493917274939,0.8933764135702746
RandomForestClassifier,0.765,0.7637074955719485,0.7793427230046949,0.7556904400606981,0.8045234248788369,0.765,0.7637074955719485,0.7793427230046949,0.7556904400606981,0.8045234248788369
RandomForestRegressor,0.74,0.7367804937729223,0.768888888888889,0.7099863201094391,0.8384491114701131,0.74,0.7367804937729223,0.768888888888889,0.7099863201094391,0.8384491114701131
SVC,0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402,0.7558333333333334,0.7543995506605234,0.7716289945440374,0.7454819277108434,0.7996768982229402
SVR,0.7466666666666667,0.7434010215799733,0.7751479289940828,0.7148703956343793,0.8465266558966075,0.7466666666666667,0.7434010215799733,0.7751479289940828,0.7148703956343793,0.8465266558966075
CBF,0.6241666666666666,0.6236573341600883,0.6371681415929203,0.6346153846153846,0.6397415185783522,0.6241666666666666,0.6236573341600883,0.6371681415929203,0.6346153846153846,0.6397415185783522
CF,0.7641666666666667,0.7564543889845095,0.8139381985535832,0.6862527716186253,1.0,0.7641666666666667,0.7564543889845095,0.8139381985535832,0.6862527716186253,1.0
